log_ts,request_type_desc,pseudo_city_code,traceid
2020-07-19T06:58:07.097,OptimizedLowFareSearch,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T06:58:07.632,OptimizedLowFareSearch,7A17,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T07:00:09.650,AirPrice,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T07:00:10.999,BookingStart,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T07:00:12.893,BookingAirSegment,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T07:00:14.167,AirMerchandisingOfferAvailability,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T07:00:15.327,SeatMap,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T07:00:20.447,OptimizedLowFareSearch,7OV0,
2020-07-19T07:00:21.308,OptimizedLowFareSearch,7A17,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T07:01:19.068,BookingDisplay,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d114
2020-07-19T07:02:19.068,AirPrice,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d115
2020-07-19T07:03:19.068,BookingStart,7OV0,EmtCom19Jul2020122806ba6a5f246e95454281e98607202c199d115
